"","celltype"
"adodgmdl-1","B_progenitor"
"adodlfml-1","Erythroid"
"adoednpc-1","Nonhaem"
"adohjpak-1","T_prolifer"
"adolohek-1","Macrophage"
"adpcdgid-1","Nonhaem"
"adpkehhn-1","Erythroid"
"adplhnpd-1","Nonhaem"
"adpmgajh-1","HSC"
"adpnanni-1","B_progenitor"
"adppilab-1","Erythroid"
"aeaebdnk-1","Neutrophil"
"aeaegccb-1","HSC"
"aeafagdp-1","Nonhaem"
"aeafjmpg-1","HSC"
"aeaienda-1","HSC"
"aealhbik-1","Nonhaem"
"aeamleaj-1","Plasma_cell"
"aeanncce-1","Nonhaem"
"aeaopjal-1","Erythroid"
"aeapjmcg-1","HSC"
"aebalmie-1","Neutrophil"
"aebbnhcl-1","Nonhaem"
"aebldjhc-1","HSC"
"aebldnon-1","HSC"
"aebmilcm-1","HSC"
"aebmpblm-1","HSC"
"aebnfcam-1","MonoCD14"
"aebokhkj-1","Erythroid"
"aeccabfb-1","Nonhaem"
"aeccpmph-1","Nonhaem"
"aecdlmcb-1","Nonhaem"
"aeceobep-1","Macrophage"
"aecfjjkk-1","HSC"
"aecgbbdf-1","MonoCD14"
"aecikkfm-1","Nonhaem"
"aeckggej-1","Macrophage"
"aecmafcg-1","Nonhaem"
"aecmngda-1","Granulocyte_monocyte_progenitor"
"aedahfed-1","MonoCD14"
"aedccdio-1","HSC"
"aedckped-1","Granulocyte_monocyte_progenitor"
"aedcmell-1","MonoCD14"
"aedegpje-1","Nonhaem"
"aedfkhhj-1","Plasma_cell"
"aedfmgde-1","HSC"
"aedhbhfe-1","Erythroid"
"aedhmojf-1","MonoCD14"
"aedkdbdc-1","MonoCD14"
"aedlcdja-1","MonoCD14"
"aedlffpe-1","Nonhaem"
"aedmikgf-1","Neutrophil"
"aednkeek-1","Nonhaem"
"aedphcpp-1","HSC"
"aeecfgjm-1","HSC"
"aeedcpmd-1","B_progenitor"
"aeegldaf-1","CD4_T_memory"
"aeeimlie-1","HSC"
"aeeonldb-1","BaEoMa"
"aefcgpma-1","Nonhaem"
"aefedaji-1","B_progenitor"
"aefgamka-1","T_prolifer"
"aefhccpb-1","Nonhaem"
"aefhfbgf-1","HSC"
"aeflngbc-1","Nonhaem"
"aefmcolm-1","Nonhaem"
"aefnoneg-1","HSC"
"aefnpakh-1","HSC"
"aefoibph-1","HSC"
"aegekbbe-1","Erythroid"
"aegheohe-1","MonoCD14"
"aeghnpoe-1","Granulocyte_monocyte_progenitor"
"aegnpipf-1","MonoCD14"
"aehdnfdp-1","Nonhaem"
"aeheheei-1","Nonhaem"
"aehfejjg-1","Nonhaem"
"aehhoigd-1","MonoCD14"
"aehnmihm-1","Macrophage"
"aehocdko-1","B_progenitor"
"aehokklf-1","Erythroid"
"aehopmcc-1","Erythroid"
"aeiaeoeg-1","Erythroid"
"aeihckcm-1","HSC"
"aeihjlcb-1","HSC"
"aeipnafg-1","MonoCD14"
"aejakmmp-1","T_prolifer"
"aejhphpe-1","B_memory"
"aejimfdk-1","NK_cell"
"aejjlmam-1","HSC"
"aejkofeo-1","HSC"
"aejlcmbd-1","HSC"
"aejoglmn-1","HSC"
"aekadkpd-1","T_prolifer"
"aekcfceh-1","MonoCD14"
"aeklachl-1","BaEoMa"
"aeknalho-1","MonoCD14"
"aelfkicc-1","Neutrophil"
"aelgkjfc-1","B_progenitor"
"aemcpbdo-1","NK_cell"
"aemgmlla-1","Erythroid"
"aemhogni-1","Nonhaem"
"aemidffj-1","Nonhaem"
"aemifjpo-1","HSC"
"aemigife-1","Nonhaem"
"aemjpejh-1","Neutrophil"
"aemlnaan-1","Erythroid"
"aemlomdo-1","Granulocyte_monocyte_progenitor"
"aemogmnf-1","MonoCD16"
"aendabaj-1","MonoCD16"
"aenfmgop-1","MonoCD14"
"aengcnnp-1","HSC"
"aenibkmm-1","Macrophage"
"aenjjhkg-1","Neutrophil"
"aenjmimd-1","Nonhaem"
"aenlfoma-1","Granulocyte_monocyte_progenitor"
"aenloffd-1","T_prolifer"
"aenlphil-1","Neutrophil"
"aenmcdai-1","MonoCD14"
"aenohldi-1","Granulocyte_monocyte_progenitor"
"aenoodmn-1","B_progenitor"
"aeoajkal-1","MonoCD14"
"aeocaece-1","Granulocyte_monocyte_progenitor"
"aeodpeef-1","Neutrophil"
"aeofjami-1","Nonhaem"
"aeogbgfj-1","Nonhaem"
"aeojjaea-1","Erythroid"
"aeokconf-1","NK_cell"
"aeokkbdd-1","Nonhaem"
"aeoojccm-1","Nonhaem"
"aepakhol-1","Nonhaem"
"aepbjcml-1","Nonhaem"
"aepceegd-1","Nonhaem"
"aepfegmo-1","MonoCD14"
"aepgencm-1","Macrophage"
"aephgcgh-1","MonoCD16"
"aepicgam-1","HSC"
"aepifbcc-1","Erythroid"
"aepjncjm-1","Nonhaem"
"aepkgope-1","BaEoMa"
"aeppbnlg-1","Plasma_cell"
"aeppceaj-1","Nonhaem"
"aeppfdnc-1","Erythroid"
"aeppkmma-1","Nonhaem"
"afaadgpl-1","Nonhaem"
"afaaejok-1","Nonhaem"
"afaangih-1","BaEoMa"
"afabmplf-1","Nonhaem"
"afacpalo-1","Nonhaem"
"afadakkm-1","Granulocyte_monocyte_progenitor"
"afafhikn-1","MonoCD14"
"afaghnap-1","Nonhaem"
"afalhddn-1","Nonhaem"
"afbadcmd-1","Nonhaem"
"afbalbag-1","B_progenitor"
"afbdnfgp-1","Neutrophil"
"afbfcdge-1","Nonhaem"
"afbjfobo-1","Nonhaem"
"afbjmfce-1","Neutrophil"
"afbklfom-1","pDC"
"afbmbkhd-1","Erythroid"
"afbnompa-1","Erythroid"
"afboiala-1","MonoCD14"
"afcbhcpd-1","Nonhaem"
"afcblnff-1","Nonhaem"
"afccailm-1","MAIT_gdT"
"afccgpfc-1","HSC"
"afccljai-1","CD8_T_memory"
"afcdaldo-1","Nonhaem"
"afcdhopi-1","HSC"
"afcehead-1","HSC"
"afchpiip-1","Granulocyte_monocyte_progenitor"
"afcicjeh-1","T_prolifer"
"afcjhill-1","BaEoMa"
"afcjnpgn-1","HSC"
"afcndhmk-1","Nonhaem"
"afcnnejj-1","Nonhaem"
"afcpdncc-1","Macrophage"
"afddicfg-1","Nonhaem"
"afdgpgll-1","Nonhaem"
"afdhphfb-1","Nonhaem"
"afdienkn-1","Nonhaem"
"afdjehgo-1","T_prolifer"
"afdkllih-1","CTL"
"afdoedfj-1","Nonhaem"
"afebchnk-1","Nonhaem"
"afedifgd-1","MonoCD16"
"afeecfbp-1","Nonhaem"
"afegakma-1","Macrophage"
"afegcndc-1","Nonhaem"
"afegkhgn-1","B_progenitor"
"afekjccb-1","Nonhaem"
"afekoanf-1","Nonhaem"
"afelcmpo-1","HSC"
"afengdba-1","Nonhaem"
"afeoblob-1","MonoCD14"
"affabdnj-1","Nonhaem"
"affahgfa-1","HSC"
"affepegl-1","BaEoMa"
"affidaoo-1","B_progenitor"
"affionpl-1","Nonhaem"
"affjeihd-1","B_progenitor"
"affjghmi-1","Nonhaem"
"affjkpdg-1","MonoCD14"
"affkhcak-1","Nonhaem"
"affngigh-1","MonoCD14"
"affokpic-1","Neutrophil"
"affopikn-1","Nonhaem"
"afgamded-1","Nonhaem"
"afgceddh-1","Nonhaem"
"afgdcbcp-1","Nonhaem"
"afglilcc-1","MonoCD14"
"afgnnjpb-1","Nonhaem"
"afgphjio-1","Nonhaem"
"afhading-1","Nonhaem"
"afhbflnb-1","NK_cell"
"afhjgjmh-1","NK_cell"
"afhkcinf-1","Nonhaem"
"afhlilda-1","Granulocyte_monocyte_progenitor"
"afhoofnb-1","HSC"
"afiabchg-1","Erythroid"
"afiakcdo-1","B_progenitor"
"afibjoeb-1","BaEoMa"
"afiekpkp-1","Granulocyte_monocyte_progenitor"
"afiglaaj-1","Nonhaem"
