"","celltype"
"abmlnfgd-1","Neutrophil"
"abmnhbjj-1","Neutrophil"
"abmnhgdk-1","Erythroid"
"abmocbma-1","Erythroid"
"abmoecpk-1","Neutrophil"
"abmpllbg-1","Neutrophil"
"abmpoked-1","HSC"
"abnaagbg-1","HSC"
"abnacidb-1","HSC"
"abnadjgl-1","Erythroid"
"abndbgog-1","Erythroid"
"abngpbfa-1","Neutrophil"
"abnhigfa-1","Erythroid"
"abnjabdj-1","Macrophage"
"abnjcibl-1","Granulocyte_monocyte_progenitor"
"abnkhome-1","HSC"
"abnklecl-1","Neutrophil"
"abnmgkmm-1","Nonhaem"
"abnmhege-1","Neutrophil"
"abnmmbhi-1","MonoCD14"
"abnmomag-1","Neutrophil"
"abnnanhf-1","Erythroid"
"abnohbnd-1","Macrophage"
"abnopffp-1","Granulocyte_monocyte_progenitor"
"abnplkfh-1","CTL"
"aboajbgm-1","B_naive"
"aboalnam-1","Neutrophil"
"aboanmpd-1","HSC"
"abockndg-1","HSC"
"abodckhm-1","HSC"
"abodfnjl-1","pDC"
"abodoflk-1","Macrophage"
"aboebpnn-1","Macrophage"
"abogpfjd-1","Erythroid"
"aboihjmp-1","Erythroid"
"aboiiiph-1","Erythroid"
"aboineol-1","Platelet"
"abokcabn-1","Platelet"
"abokobcf-1","B_memory"
"abomglhl-1","Erythroid"
"abomknnn-1","Erythroid"
"abooafge-1","B_memory"
"aboojbcf-1","Erythroid"
"abooofdm-1","Erythroid"
"abooofop-1","Macrophage"
"abpahepk-1","Erythroid"
"abpaipkh-1","Erythroid"
"abpbemmi-1","HSC"
"abpddemg-1","Erythroid"
"abpeenab-1","Granulocyte_monocyte_progenitor"
"abpegebm-1","Neutrophil"
"abpegmgc-1","Granulocyte_monocyte_progenitor"
"abpeombo-1","B_naive"
"abpfeidp-1","Macrophage"
"abpgbmch-1","Macrophage"
"abpgefef-1","BaEoMa"
"abpiolap-1","Neutrophil"
"abpjgjhl-1","Neutrophil"
"abpjkbom-1","BaEoMa"
"abpledai-1","Neutrophil"
"abplendf-1","Neutrophil"
"abplmmam-1","Macrophage"
"abpmmemc-1","Neutrophil"
"abpmoiei-1","Nonhaem"
"abpocjmj-1","Erythroid"
"abpolcla-1","Erythroid"
"abpphijo-1","Neutrophil"
"abpplmbn-1","Macrophage"
"abpppjnn-1","Erythroid"
"acaajkja-1","Neutrophil"
"acabkndd-1","CD4_T_memory"
"acablkaf-1","Neutrophil"
"acabnfai-1","Neutrophil"
"acacbkof-1","Neutrophil"
"acaccbfm-1","B_memory"
"acacdflm-1","Granulocyte_monocyte_progenitor"
"acaclgnk-1","HSC"
"acaegpmj-1","Erythroid"
"acaembop-1","HSC"
"acaenmmk-1","Nonhaem"
"acaepkbd-1","Macrophage"
"acafhafj-1","Erythroid"
"acafmhhk-1","Erythroid"
"acafmjgh-1","Erythroid"
"acaglana-1","B_naive"
"acahpico-1","B_progenitor"
"acaicmib-1","Erythroid"
"acaijena-1","Erythroid"
"acajoehe-1","Nonhaem"
"acakllnf-1","Plasma_cell"
"acakpili-1","Neutrophil"
"acalpcfo-1","Erythroid"
"acamnnhd-1","Erythroid"
"acanbakb-1","Neutrophil"
"acankppd-1","Erythroid"
"acanmiil-1","Nonhaem"
"acaokfbn-1","Nonhaem"
"acapmfcp-1","Neutrophil"
"acapnhno-1","CD4_Tcm"
"acbamdgd-1","Neutrophil"
"acbaomen-1","Neutrophil"
"acbcaimb-1","Erythroid"
"acbcbole-1","Erythroid"
"acbcjcgd-1","Erythroid"
"acbfbdkl-1","Erythroid"
"acbfkbki-1","Nonhaem"
"acbfofim-1","Nonhaem"
"acbgpllc-1","Erythroid"
"acbhamck-1","Nonhaem"
"acbjjiac-1","B_naive"
"acbmhdpm-1","Erythroid"
"acbmhhbo-1","Erythroid"
"acbmnnnb-1","Erythroid"
